# Âm tiết tiếng Việt hợp lệ ĐÃ CHỨNG THỰC trong corpus, kèm tần suất.
# Nguồn cột 2: syllable-freq.tsv
# 9352 / 18261 âm tiết sinh ra có xuất hiện thật.
# Âm tiết hợp lệ nhưng KHÔNG có ở đây là tín hiệu 'nghi vấn' cho L3/L4:
# đúng ngữ âm nhưng không ai dùng, nên rất có thể là lỗi gõ.
# 
# Cột 3 = tần suất đếm trên CHÍNH tập câu đã dựng compounds.tsv. Cần cột
# riêng này để tính được xác suất có điều kiện P(b|a) = freq(a b)/freq(a):
# hai con số phải cùng một mẫu, không thì tỉ số vô nghĩa. Đó là thứ phân
# biệt từ ghép CỐ ĐỊNH (`chia sẻ`) với kết hợp TỰ DO (`cát trắng`) — và
# chính là chỗ mà tần suất bigram thô không đủ.
# 
# tổng token trên tập câu: 13338970
# 
# âm_tiết	tần_suất_dump	tần_suất_tập_câu
bỉ	14480	673
bến	14353	1078
tổn	14325	1187
ngồi	14324	944
thải	14307	913
huệ	14290	1226
dũng	14264	690
chụp	14220	736
voi	14181	865
me	14125	392
gai	14117	369
kia	14109	1467
chặt	14085	1246
khẳng	14020	1281
canh	14011	1081
ân	13992	875
lỵ	13903	713
chắn	13898	862
vở	13898	705
thuê	13885	687
thạnh	13872	425
mộc	13818	1297
duyệt	13806	1224
thang	13761	1140
kiên	13737	1082
ái	13733	1031
khơi	13730	398
bia	13719	1076
đực	13700	449
cỡ	13694	827
xưng	13678	1351
mượn	13657	534
cướp	13645	965
tú	13632	638
ung	13605	1048
kỉ	13586	1301
thẻ	13541	592
vui	13538	842
tuyết	13537	953
dàng	13535	1206
giam	13532	928
thầy	13509	1228
chuồn	13506	24
nhượng	13458	795
bách	13450	1062
chở	13440	850
đòi	13435	1350
khuyến	13433	1135
thách	13360	571
dao	13348	1281
ngọn	13336	963
chuột	13307	405
dã	13289	753
bát	13285	1493
hỗn	13258	1191
kho	13244	840
ấu	13222	295
khung	13219	910
mê	13211	1133
túc	13207	829
my	13199	310
sàng	13169	884
dược	13144	948
kêu	13141	1071
kỵ	13127	561
hi	13080	781
sánh	13074	1153
hào	13071	1218
đồi	13038	1021
huế	12993	1429
hoà	12975	1868
lũng	12965	914
non	12961	915
trúng	12919	437
ghế	12913	699
lân	12865	868
xưởng	12862	428
điệp	12795	839
thả	12784	652
thiền	12773	3144
khôi	12759	947
khang	12718	459
thám	12683	1081
hằng	12618	1321
huyết	12611	1105
nghèo	12603	1314
chậm	12590	1057
hộp	12568	677
hắn	12566	234
che	12564	963
than	12538	1062
cản	12522	980
nhì	12478	567
mảnh	12465	857
tạng	12442	1681
thép	12434	849
vú	12413	475
cửu	12405	1053
tiêm	12375	578
tuân	12355	1124
răng	12264	888
men	12188	1567
nhi	12187	734
sữa	12162	756
hâm	12118	515
nòng	12114	564
úy	12099	481
mạn	12060	580
hoảng	12059	1015
lãng	12056	706
ngại	12009	990
ngự	12003	790
lợn	11972	541
nô	11932	1423
quen	11881	858
khen	11850	410
tóc	11843	543
vết	11840	899
ngợi	11815	590
vững	11788	1088
hồn	11787	917
hang	11783	895
mèo	11749	656
cổng	11740	835
nhấn	11729	1100
đặng	11678	954
xích	11659	1197
lắp	11644	677
miệng	11617	777
su	11560	738
ấp	11545	622
nho	11532	1336
già	11518	1043
lão	11497	1010
mơ	11478	514
niềm	11476	926
bèn	11466	730
gián	11462	942
trầm	11403	1345
sưu	11400	606
chứ	11377	1286
duệ	11362	626
nhuận	11360	830
thung	11358	781
đầm	11346	451
lẻ	11343	775
bùi	11325	880
khích	11324	1019
tề	11234	507
viêm	11220	1109
tung	11208	653
xá	11173	1051
lành	11146	1032
kiều	11075	889
xoay	11066	644
nẵng	11006	934
gấp	10998	902
bấy	10976	1152
hứa	10971	546
não	10965	1092
lô	10955	641
bè	10923	592
tiềm	10919	805
lọc	10911	863
mồi	10885	594
nhiếp	10882	505
muối	10869	1191
vang	10832	726
chư	10819	892
bút	10797	784
sụp	10793	1240
duyên	10713	1039
nạp	10706	903
ki	10685	234
tang	10685	638
lưỡng	10679	907
ngàn	10674	1149
lãm	10672	516
đập	10639	641
hẹp	10627	922
dải	10615	744
thục	10595	722
lồ	10584	896
hầm	10573	555
vé	10571	302
phụng	10560	687
lạ	10559	690
nguyệt	10542	514
màng	10538	1133
sạch	10529	658
giáng	10506	664
ngã	10465	931
giây	10434	594
ven	10433	996
thận	10420	734
kiệt	10413	1027
xấu	10410	786
dong	10402	179
sợi	10387	982
nét	10323	1069
ngực	10297	662
thôi	10291	660
thợ	10269	697
leo	10258	598
dường	10249	711
mát	10233	722
nghìn	10216	1098
nương	10210	414
lỏng	10203	1178
đèn	10188	771
ép	10187	814
chăn	10175	563
ức	10158	470
cưới	10102	671
hiền	10098	652
hưu	10069	443
quế	10064	432
dáng	10047	618
đẻ	10018	529
xám	10006	347
khuẩn	10004	1825
thoái	9998	745
ngủ	9986	535
thiệp	9956	940
bụi	9941	634
chờ	9935	559
mãi	9930	749
mây	9915	1267
phẫu	9896	692
rau	9865	619
ảo	9826	629
lật	9821	900
nhãn	9783	590
lò	9776	918
dắt	9753	482
li	9712	389
ôn	9690	710
huỳnh	9688	867
mì	9648	411
bọc	9645	687
rồng	9594	845
bốc	9576	417
nàng	9566	712
bùng	9541	817
dâm	9533	1090
chàng	9521	536
đáy	9521	609
ghép	9498	633
căng	9443	779
đậm	9435	596
bọn	9428	549
nỗi	9422	643
làn	9414	690
suối	9410	539
gỡ	9378	467
mọc	9357	579
cống	9355	754
sạn	9323	399
treo	9302	673
mươi	9293	668
nhạt	9275	382
quái	9264	372
trông	9259	661
bồi	9249	658
ruột	9242	705
nai	9182	470
bội	9174	728
nhịp	9162	563
don	9151	242
cốc	9149	640
trộn	9142	909
khoáng	9131	972
am	9100	441
dịp	9072	752
cáp	9069	455
bê	9058	398
bông	9025	531
điêu	9024	728
va	8993	708
mao	8955	688
hề	8949	745
đợi	8949	571
bi	8941	601
bơi	8940	329
gói	8936	852
chút	8922	606
kín	8919	707
bền	8853	823
út	8821	667
dâng	8807	773
eo	8797	632
khứ	8791	655
ngài	8780	959
nhậm	8767	486
nấu	8757	611
go	8749	144
giận	8703	511
quát	8691	1195
phế	8672	637
ni	8669	633
củng	8656	745
diên	8639	351
quỳnh	8627	335
ngưỡng	8625	1098
phẳng	8609	1139
ngập	8584	601
lặp	8580	787
nút	8561	535
sút	8557	430
chôn	8547	546
mừng	8539	553
sổ	8514	637
tạ	8457	386
đắc	8442	752
nợ	8429	521
rạp	8429	306
chào	8418	455
hãn	8413	798
sàn	8406	402
lúa	8401	998
buồn	8389	468
dò	8336	692
gợi	8299	582
lệch	8278	823
khuyên	8272	615
ấm	8253	668
chặng	8234	252
chuyền	8228	281
tươi	8228	445
ray	8216	302
dỡ	8200	226
khuyết	8168	408
nêu	8157	817
rã	8129	955
hảo	8128	686
trượt	8125	448
tuệ	8119	690
khải	8115	739
khê	8086	648
nấm	8070	365
bữa	8049	396
miếu	8041	658
mun	8041	112
quỷ	8021	400
kịp	7997	549
trạch	7989	662
ngộ	7979	1198
xứng	7949	839
mùi	7945	683
lặn	7938	230
xóa	7934	600
đáo	7920	654
ưa	7902	787
hạc	7891	172
hãy	7887	565
hoãn	7882	344
đúc	7876	721
lư	7868	538
ri	7868	146
tật	7860	615
thuẫn	7854	851
lầm	7847	730
khẩn	7843	520
bàng	7836	350
lũ	7828	417
tre	7798	547
vịt	7788	172
trân	7784	339
mốc	7777	449
gạo	7753	876
nhầm	7719	542
sùng	7706	542
chốt	7692	640
tóm	7684	453
trừng	7682	731
nhơn	7655	538
mấy	7653	688
nề	7642	590
xi	7631	433
xong	7626	635
lừa	7619	339
túi	7591	351
phấn	7582	478
be	7575	187
phượng	7574	450
hẹn	7565	345
cong	7555	712
gương	7555	525
tốn	7531	656
mạo	7504	424
đốm	7503	339
đâu	7498	685
thạc	7457	183
tom	7444	168
nhựa	7436	583
chuông	7418	315
đạp	7416	611
lõi	7408	651
diệp	7402	209
đựng	7390	577
hỏng	7385	418
hối	7363	490
ván	7350	411
ro	7342	338
mảng	7340	730
dời	7328	619
sam	7325	242
chẽ	7313	713
dạ	7313	534
day	7312	197
huống	7308	446
xóm	7289	332
bù	7278	529
mìn	7275	308
quách	7273	281
lằn	7243	66
thùy	7215	201
lắng	7205	491
pa	7187	645
ong	7186	291
múa	7182	418
khía	7171	655
cối	7165	465
ếch	7145	64
nhắm	7136	335
quỳ	7136	234
tha	7131	506
vu	7123	420
tráng	7118	466
măng	7108	259
móng	7107	605
sườn	7104	433
gọn	7103	602
mâu	7102	765
bái	7087	613
đằng	7082	494
đoan	7081	499
phùng	7075	410
đòn	7069	344
quét	7063	446
xướng	7056	588
cạn	7030	447
cuồng	7020	158
khiêu	7017	233
mậu	6999	692
thằn	6988	56
táng	6982	491
tỏa	6974	519
ngai	6972	273
giỏi	6971	538
bưu	6963	407
bích	6949	431
bây	6948	540
kĩ	6939	564
túy	6937	619
nở	6934	691
lũy	6926	603
say	6905	327
tràng	6895	491
sốt	6893	378
diệu	6856	907
lạm	6856	878
thâm	6850	575
càn	6821	272
ngẫu	6818	768
rào	6815	410
ổ	6755	806
lí	6743	543
tiệc	6740	409
phun	6729	579
cói	6723	59
si	6716	483
soái	6688	329
phiến	6685	409
thỉnh	6677	677
ti	6660	416
mũ	6659	409
mẫn	6653	418
khan	6650	278
sải	6622	25
thô	6615	567
vượng	6612	722
sừng	6595	343
nộp	6593	458
đói	6590	728
tím	6583	398
vải	6547	625
mù	6536	534
liễu	6530	429
nồng	6520	749
dẹp	6516	530
thỏ	6508	108
đứt	6493	496
mỏng	6472	523
trâu	6465	417
nghịch	6460	800
mộng	6454	333
tết	6418	875
yến	6409	250
sói	6406	129
tràn	6403	566
lưỡi	6387	495
dốc	6373	467
gấu	6373	435
cóc	6369	188
hoằng	6368	377
ho	6366	199
chiêm	6348	938
bó	6347	445
dính	6346	492
vạch	6333	747
gan	6324	348
rạn	6292	189
cẩn	6291	452
tản	6290	489
mòn	6282	599
bệ	6265	322
trật	6262	592
dội	6259	413
béo	6245	550
giấu	6220	372
ngãi	6192	509
min	6191	35
vắng	6191	370
táo	6190	328
ruộng	6177	863
chúc	6157	400
đeo	6148	361
sọc	6146	140
lạt	6144	680
khỉ	6138	201
gò	6133	481
tấu	6104	439
cậy	6080	566
chiết	6062	406
súc	6051	495
ngạc	6036	450
vay	6032	401
vời	6015	287
chèo	6011	423
tơ	5996	614
liều	5993	331
muộn	5991	416
khớp	5984	310
vẹn	5983	564
mồ	5965	288
ngón	5964	721
phổi	5962	536
hong	5949	110
uỷ	5932	780
nhan	5922	283
chục	5918	621
ham	5916	260
cài	5915	544
chẩn	5913	505
tịnh	5905	829
ơn	5888	381
kép	5878	543
tựu	5875	572
bính	5873	475
đâm	5854	309
mờ	5849	509
mau	5847	393
mỡ	5841	481
mầm	5829	563
giật	5809	293
tị	5804	485
bin	5783	636
mường	5766	432
rửa	5763	439
tảo	5763	274
châm	5750	618
xiêm	5750	531
giấc	5741	223
khoán	5738	308
khanh	5728	286
hoại	5724	592
hẳn	5714	652
dê	5709	145
xê	5708	540
khói	5703	426
bìa	5696	159
sun	5662	254
nhọn	5659	264
ngạn	5654	364
khương	5649	292
cúng	5646	781
gu	5643	95
sen	5636	516
chua	5634	374
ru	5629	116
hoành	5626	338
đệm	5620	385
hãm	5580	399
nghiêng	5579	467
móc	5567	391
cười	5557	340
mắn	5545	253
khe	5528	484
nhã	5526	480
im	5511	211
khoác	5510	131
quyến	5491	266
trọn	5485	421
nướng	5476	222
củ	5473	371
thự	5471	303
rủi	5458	299
khiết	5453	682
khoan	5453	533
thở	5453	409
nhạy	5430	411
gạch	5414	533
rạch	5410	624
nốt	5406	443
heo	5404	194
tê	5404	589
rác	5390	390
dâu	5372	475
dơi	5355	71
quên	5340	371
gốm	5339	759
xà	5332	308
tiễn	5326	499
dĩ	5321	497
khoang	5320	279
thơm	5312	520
đính	5302	338
quãng	5300	435
uyên	5287	384
lạng	5286	495
triệt	5281	456
đãi	5280	428
bo	5277	360
tiệp	5258	369
rẽ	5255	517
rễ	5253	387
ngòi	5241	286
vươn	5225	301
xoáy	5223	316
phiêu	5222	191
coa	5193	43
son	5187	243
miện	5186	187
thiếp	5186	282
ngột	5174	445
tụng	5164	617
cưỡng	5154	370
miên	5153	334
thùng	5137	340
ngừa	5135	422
nảy	5135	440
nhai	5134	211
kiệm	5133	322
nhũng	5131	610
kem	5130	127
cuộn	5123	344
lây	5123	538
ben	5121	125
hố	5116	390
lã	5111	356
lùi	5109	389
giày	5102	229
tắm	5091	282
doãn	5090	278
rô	5090	115
lụt	5086	300
sét	5085	426
lườn	5066	5
bếp	5053	220
liêm	5052	343
ngục	5046	377
khiêm	5044	588
chày	5042	178
bám	5033	328
trôi	5026	386
bớt	5015	521
lầy	5014	270
tể	5004	295
tà	5001	335
miến	4993	388
khâm	4981	456
au	4969	192
quyên	4961	234
ngụ	4959	398
đắp	4959	451
lặng	4953	342
buồng	4950	344
tôm	4949	451
trộm	4929	288
mặn	4924	435
rùa	4920	185
xen	4903	401
chừng	4896	429
sương	4884	473
nén	4869	598
são	4866	112
bành	4842	378
nhẫn	4842	319
khâu	4841	267
hôi	4832	130
nhiễu	4832	447
pin	4824	388
trắc	4809	356
sâm	4803	173
ướt	4798	241
đấy	4797	496
thúy	4796	174
đắm	4796	222
chen	4772	78
trùm	4768	291
cơm	4746	377
xoắn	4727	541
lường	4725	549
thới	4710	181
buýt	4706	361
đam	4697	210
sôi	4670	459
giãn	4660	537
hắc	4653	264
vòm	4653	293
hoạn	4648	459
ao	4643	252
neo	4639	129
miếng	4637	297
đèo	4631	503
vũng	4626	430
lấp	4605	386
ngắm	4601	298
viếng	4601	387
chém	4600	293
chướng	4586	157
cuống	4582	103
kí	4578	189
tẩy	4565	353
luồng	4561	447
cành	4559	310
chùm	4550	316
trội	4546	303
khát	4535	312
quà	4503	238
chéo	4490	361
han	4489	74
ngưng	4484	488
toà	4482	541
đổng	4480	232
lựu	4479	275
rải	4475	375
lộn	4474	281
gãy	4467	368
hạch	4466	463
khoai	4465	201
hãi	4444	223
rổ	4440	292
giặc	4437	451
sắm	4435	236
cua	4434	129
tát	4431	783
khử	4420	492
sỹ	4402	336
lùn	4389	367
xít	4386	497
rẻ	4381	372
dệt	4377	483
hái	4373	307
bộc	4365	279
nắng	4365	345
viền	4364	132
thổi	4361	473
bổng	4360	250
nhược	4340	320
gặm	4338	56
se	4331	118
phả	4330	385
thầu	4326	284
ngà	4317	278
dám	4313	382
tuyền	4313	200
cưỡi	4296	200
un	4295	103
cồn	4283	495
mu	4276	104
khuất	4254	330
he	4250	117
chay	4246	383
gối	4241	174
thoảng	4234	428
lội	4233	158
cắm	4230	347
cắp	4207	223
thiêng	4206	383
quạt	4204	344
láng	4198	475
bắp	4182	145
khóc	4181	225
ngon	4177	230
ia	4173	99
thắt	4170	338
ky	4157	149
chổi	4144	439
nhường	4143	359
ghét	4131	309
chiên	4130	178
phím	4121	318
sẫm	4121	165
bạt	4111	200
chan	4111	123
gay	4110	238
đày	4108	319
nhiêu	4106	383
síp	4089	259
mập	4084	181
vách	4081	315
vôi	4072	391
quật	4059	377
hoán	4045	356
vảy	4033	110
xấp	3993	524
bể	3987	298
gũi	3984	363
gác	3983	295
thê	3982	216
rìa	3975	238
hươu	3969	166
đống	3968	270
diệm	3961	866
nát	3953	286
sủng	3952	169
nhung	3948	242
đun	3931	335
ớt	3931	195
đê	3913	351
re	3905	107
kiềm	3897	480
chì	3890	448
gánh	3886	338
hụt	3885	347
lấn	3885	347
lứa	3880	172
truất	3879	248
rỗng	3874	324
lùng	3873	173
hiếp	3865	242
hận	3844	250
huynh	3829	169
lãi	3819	215
khép	3813	226
chòm	3810	454
soo	3788	25
lụa	3787	544
bì	3776	238
cù	3772	272
hò	3772	141
khiếu	3757	203
trướng	3757	383
bùn	3754	239
chai	3754	157
mác	3753	197
phác	3746	277
tiếc	3732	297
bầy	3724	157
đụng	3722	208
đàng	3715	496
nhấm	3709	34
đắt	3708	320
gân	3706	136
tum	3700	213
trác	3697	250
trù	3690	391
kề	3681	411
nang	3675	211
thấu	3667	494
trán	3662	154
sảnh	3658	165
vắc	3648	388
mến	3645	211
xinh	3643	130
dan	3637	92
nhắn	3634	130
điên	3632	188
thói	3614	268
bóc	3603	332
pho	3592	228
tồi	3585	256
mãnh	3584	268
choi	3583	49
oanh	3583	208
dại	3582	194
dai	3580	201
à	3579	108
cắn	3559	151
khinh	3542	229
thính	3538	242
lu	3537	155
dừa	3535	522
đao	3531	189
gioan	3528	309
roi	3525	165
khôn	3486	242
nghiện	3484	296
thiêu	3484	305
rung	3480	257
chưởng	3474	176
dập	3474	300
lát	3469	242
hước	3467	141
dối	3465	197
bẫy	3454	103
sê	3440	61
đếm	3436	285
lỡ	3431	86
xả	3429	228
sấu	3428	457
đừng	3425	217
nghiệt	3405	248
nắp	3392	154
tòng	3388	166
khuynh	3376	488
kình	3371	167
ten	3370	148
nếp	3367	369
rắc	3364	200
báu	3358	268
ngặt	3351	245
nham	3347	276
run	3343	94
trưa	3332	190
chang	3328	75
chuộng	3325	360
lắm	3324	296
lanh	3312	201
bồn	3308	236
ráy	3307	3
po	3298	219
khuếch	3294	300
gõ	3290	264
lặc	3282	267
thủng	3279	173
nậm	3275	92
yết	3274	248
gán	3271	357
rệt	3254	402
rãnh	3252	253
đạc	3245	337
giường	3241	220
pan	3240	67
phơi	3239	281
sọ	3239	208
thưa	3225	302
mĩ	3213	190
thấm	3208	303
diêm	3201	267
trơn	3201	237
ngu	3199	269
niêm	3191	233
ngơi	3176	163
nón	3174	234
nhôm	3172	549
vội	3167	206
lót	3163	209
khuê	3161	211
tiệm	3161	170
dọn	3158	189
nhẵn	3154	67
uốn	3143	267
sanh	3137	319
nhục	3136	290
bơm	3133	272
ken	3120	63
rực	3117	289
seo	3113	32
mào	3101	91
tặc	3099	139
xăng	3096	361
rậm	3093	169
nung	3090	456
hạo	3089	114
chọc	3086	280
thề	3084	254
đúp	3084	90
ngạch	3076	200
bế	3075	212
xông	3072	150
sốc	3064	206
chuối	3050	167
tệp	3050	458
ngâm	3033	278
doi	3030	35
kiếp	3029	343
liu	3026	67
lánh	3026	252
mép	3026	94
giếng	3024	252
gả	3018	214
ráp	3015	251
xôi	3013	230
nan	3012	350
thoải	3011	211
đành	3006	209
hao	3001	307
cõi	2998	512
giêng	2995	305
kiêu	2994	167
ron	2987	238
cấy	2983	252
phì	2981	406
uyển	2971	201
nhũ	2958	224
nồi	2957	132
giềng	2954	402
nại	2953	164
thuở	2950	254
khoảnh	2948	105
sáo	2948	338
nôm	2947	598
kẽ	2943	234
rèn	2942	233
gìn	2940	412
rể	2940	203
rụng	2938	182
mỏi	2931	186
ve	2923	75
lăn	2916	180
diêu	2910	96
chênh	2907	308
luyến	2902	197
cò	2901	111
trễ	2895	181
te	2894	89
má	2892	98
ry	2887	47
diễu	2886	196
nà	2884	88
rỡ	2881	277
cỗ	2880	209
nhốt	2878	95
dịu	2877	198
ưng	2877	247
den	2873	83
họng	2870	113
cẩu	2868	173
gừng	2868	70
mệt	2862	184
khoá	2852	266
khố	2845	180
mổ	2840	231
gắt	2837	244
khéo	2831	245
loa	2828	302
manh	2828	167
chanh	2810	179
vớt	2809	66
râu	2808	109
bong	2805	119
đạm	2805	258
ghé	2797	140
kha	2797	301
côi	2796	143
ren	2796	96
kẹt	2788	138
gun	2787	62
hoạ	2781	307
khao	2779	126
cày	2774	214
tạc	2774	303
kị	2771	192
phồn	2767	276
xí	2766	287
dực	2765	194
diều	2763	78
nhuộm	2763	357
rỉ	2763	156
lượn	2759	110
chán	2754	187
ngõ	2746	266
lầu	2739	235
bạ	2735	65
túng	2732	210
cay	2729	148
nạ	2728	89
phàn	2723	140
bận	2720	180
tỳ	2712	302
xuôi	2711	259
đùa	2703	167
thiểm	2699	124
thệ	2698	225
khốc	2691	171
yểm	2681	200
nghênh	2680	149
khoái	2678	338
nứt	2676	181
tro	2676	199
gậy	2664	226
giã	2662	227
khống	2662	236
vòi	2655	174
ướp	2653	391
thầm	2652	113
cu	2644	107
đục	2637	292
cụt	2635	198
nhàng	2635	177
giun	2632	72
xơ	2629	284
kẹo	2616	142
hựu	2608	108
rong	2605	106
gã	2604	74
rũ	2599	119
len	2586	123
phò	2585	173
ôm	2585	172
kíp	2573	105
nóc	2570	169
mạt	2557	194
ngưu	2555	188
đuối	2553	133
gặt	2551	107
hân	2550	104
dán	2549	201
cọ	2547	247
tho	2545	261
tem	2543	720
chước	2539	175
dẻo	2538	259
bồng	2534	274
điềm	2529	145
mẻ	2526	178
thuôn	2523	55
biếm	2520	182
mịn	2507	167
rưỡi	2497	103
rước	2493	232
quấy	2488	192
bôi	2478	169
kèn	2472	212
ngoan	2472	146
hở	2469	195
pi	2463	168
cớ	2453	242
mo	2450	52
gộp	2446	206
xảo	2440	199
hiên	2439	130
nàn	2430	182
vụn	2429	122
gi	2428	47
mân	2428	190
dồn	2426	214
keo	2419	322
mài	2418	303
buồm	2413	157
hông	2412	127
ốm	2412	189
chích	2408	75
ram	2403	131
giọt	2399	265
sụt	2398	199
vằn	2396	86
quặng	2392	258
rang	2392	236
điểu	2391	195
nhàn	2388	143
vấp	2385	135
vần	2378	310
mõm	2374	61
phô	2374	140
lột	2369	184
phiệt	2366	146
oai	2362	190
đũa	2359	213
ngươi	2354	300
sập	2346	117
lồi	2343	410
thềm	2342	218
khiếp	2339	178
rịa	2339	173
cám	2334	63
sum	2325	45
phôi	2324	232
thoi	2324	214
toa	2324	161
đán	2323	220
lậu	2317	251
nộ	2315	146
cừ	2314	118
phiền	2314	217
then	2314	216
mạ	2313	221
dưa	2307	151
lận	2305	162
rò	2298	111
bơ	2294	86
chớp	2294	175
bọt	2290	218
mắm	2289	542
thạo	2282	153
que	2279	162
sầu	2278	126
váy	2277	175
tao	2270	135
huỷ	2260	271
dền	2256	21
hu	2253	37
báng	2249	153
phà	2249	233
bon	2243	42
nhái	2242	42
chè	2236	245
chảo	2233	132
lề	2233	160
đấng	2230	312
tủy	2221	250
diễm	2220	77
ngao	2216	82
ê	2215	151
hệt	2213	142
cởi	2212	164
chuộc	2210	183
nhụy	2205	65
suýt	2202	75
khoẻ	2201	195
nôn	2195	107
xay	2195	189
góa	2192	81
soi	2191	192
ồn	2191	143
đấm	2185	67
ne	2177	88
ngoặt	2177	201
dật	2176	131
nhâm	2170	162
chìa	2169	115
bấm	2157	140
gục	2147	67
trượng	2147	223
giê	2146	371
đắng	2146	150
nọc	2142	31
đớn	2142	116
trỗi	2139	221
tía	2138	143
bìm	2136	8
ngủi	2136	146
trừu	2135	297
chuồng	2134	69
guy	2134	59
phạn	2132	491
nhụi	2129	3
hách	2125	66
nhào	2122	74
nhô	2120	155
lừng	2116	140
bẩm	2114	174
nen	2111	37
ngọ	2111	210
kẽm	2108	431
tẩm	2104	127
nhát	2100	98
nụ	2099	98
vệt	2098	47
hẻm	2096	130
đè	2090	136
phích	2088	111
chồn	2082	57
mày	2079	133
bén	2078	104
dĩnh	2076	91
nhưỡng	2074	168
quạ	2072	88
đố	2069	151
chao	2067	82
sô	2059	86
kẹp	2051	118
rạng	2045	139
oan	2037	126
thuyên	2033	154
búp	2032	46
đọng	2032	179
nhồi	2031	221
tủ	2028	81
tẩu	2026	123
dứa	2023	81
đả	2023	172
cảo	2018	114
búa	2013	106
đùi	2012	103
phẫn	2008	140
phao	2005	109
muôn	1995	236
nguyền	1995	100
sào	1995	180
lau	1990	96
thoa	1988	238
lở	1987	128
léo	1985	125
nghiền	1981	174
vẹt	1981	51
cước	1979	141
hốt	1978	261
chén	1976	188
gieo	1973	259
cưa	1968	113
ất	1961	193
phàm	1960	137
trâm	1958	104
tưới	1958	258
lơ	1956	156
thốt	1947	173
gầm	1940	127
khỏa	1938	53
húc	1937	109
tỉa	1936	93
dạo	1935	116
bỉnh	1932	264
sin	1932	130
vuốt	1930	121
dồi	1925	229
giục	1924	142
gươm	1923	160
bổn	1918	150
sầm	1911	140
dỗ	1910	128
dận	1909	33
chót	1907	73
bỏng	1905	88
bỗng	1903	160
dấy	1901	157
gang	1897	105
cúm	1895	235
đẫm	1893	189
dở	1886	121
ghen	1883	100
xé	1876	144
lim	1871	48
ủ	1869	131
óc	1860	211
pe	1857	46
lách	1854	144
bóp	1851	181
vựng	1848	188
rai	1847	140
né	1845	95
cọc	1844	118
rốt	1844	137
tâu	1844	180
xói	1844	191
ke	1843	35
muỗi	1843	111
kìm	1837	143
kè	1834	64
vá	1833	106
phách	1832	186
ải	1830	173
qui	1829	166
đéc	1827	314
bẩn	1822	123
giông	1817	61
uất	1817	142
choán	1813	5
tuỳ	1813	315
boong	1812	73
mùng	1808	188
khiếm	1807	102
tăm	1807	157
ran	1806	56
chọi	1804	83
thon	1804	56
khoát	1802	218
sỏi	1800	175
oán	1799	157
vóc	1799	131
vy	1797	130
ngỗng	1796	37
sồi	1796	77
nhúng	1795	223
đắn	1793	220
lén	1790	117
ròng	1790	149
hun	1783	96
gạt	1781	185
căm	1780	150
hăng	1779	114
thoáng	1778	142
khiên	1777	93
toản	1774	103
giò	1773	79
ngạo	1773	75
nhuệ	1771	115
lều	1769	121
liêng	1766	149
lắc	1756	135
din	1752	75
sấm	1747	201
tụy	1747	243
thuỵ	1740	214
thâu	1734	175
ơi	1732	81
bón	1729	129
lăm	1728	100
sái	1728	55
cưng	1727	39
thìn	1727	162
tua	1727	168
chốn	1724	134
rét	1720	144
giàn	1719	102
chạp	1717	176
nuốt	1715	110
bửu	1714	144
lõm	1714	163
ngói	1713	406
xoài	1712	76
súp	1707	81
tuất	1704	132
trọt	1702	216
đái	1701	101
bân	1699	33
chèn	1698	133
lay	1691	111
uông	1690	74
vỹ	1690	110
dì	1687	48
điếm	1683	95
vọt	1680	151
lung	1675	126
noãn	1671	103
lốp	1670	97
bẻ	1669	129
chà	1668	156
vãn	1667	197
bẹ	1658	33
dậu	1657	181
luộc	1654	140
nin	1652	179
vướng	1651	110
xế	1650	47
chưng	1648	333
rớt	1648	49
thoả	1644	272
hột	1643	149
lộng	1641	132
nặc	1635	154
lướt	1633	117
rộn	1629	121
sòng	1629	70
ngoạn	1628	143
mía	1627	152
rạc	1626	221
nhặt	1624	117
xì	1621	64
chun	1616	102
lửng	1612	84
mò	1612	81
hoi	1607	104
đặn	1607	177
giòn	1603	89
lít	1600	118
trèo	1600	105
vờ	1596	76
phỉ	1592	105
tý	1590	185
ủi	1590	148
tụt	1589	108
lin	1588	22
đởm	1584	17
cược	1581	74
lẫy	1581	122
hoắc	1580	49
vả	1579	124
toại	1578	80
trãi	1571	382
vỗ	1571	87
hổng	1570	111
nọ	1566	90
hợi	1560	127
thêu	1560	119
khảm	1557	131
tỏi	1557	107
bú	1555	84
nhí	1555	25
ang	1550	66
ngắt	1549	139
tỵ	1546	135
dào	1545	193
buông	1542	138
ny	1541	31
xuồng	1541	52
í	1538	76
kệ	1537	208
vượn	1537	71
nhạn	1534	140
thối	1534	112
sán	1533	110
xáo	1533	138
oa	1530	98
sim	1530	29
chàm	1528	147
lị	1528	119
mão	1528	114
tiếu	1528	84
nguội	1527	173
nã	1527	98
tiều	1522	38
xẻ	1515	89
rơm	1514	48
úp	1508	159
chậu	1506	147
xát	1505	112
sò	1504	74
át	1504	97
xy	1503	20
hét	1499	92
chóp	1497	100
rao	1496	104
xoa	1496	135
hủ	1495	182
vã	1493	87
vác	1490	113
thiều	1488	155
đốn	1485	173
cầy	1482	46
bu	1480	87
thuột	1478	232
nhữ	1469	84
náu	1468	83
kiệu	1463	90
sửu	1463	114
trứ	1463	141
găng	1459	55
nạt	1458	27
nến	1457	98
pu	1456	62
