# Token KHÔNG phải âm tiết tiếng Việt nhưng được chấp nhận trong văn bản Việt.
# Gồm ba nhóm: từ vay mượn khoa học (vectơ, nitơ, electron, protein),
# tên riêng ngoại (méxico, napoléon), và viết tắt thường (sđd, đ).
# 
# Tiêu chí: xuất hiện trong >= 20 câu khác nhau.
# Dùng SỐ CÂU CHỨA chứ không phải tần suất thô: tần suất thô bị một bài
# dài lặp lại một từ làm lệch, còn độ lan toả thì không.
# 
# Nguồn: sentences-train.txt (449911 câu)
# 
# token	tần_suất	số_câu_chứa
background	64	59
band	70	59
bern	63	59
body	62	59
bs	71	59
championship	64	59
clark	61	59
compact	73	59
conference	63	59
firenze	66	59
four	63	59
galaxy	72	59
hip	62	59
kfc	67	59
melanie	63	59
oliver	61	59
petrograd	59	59
plo	63	59
radcliffe	60	59
rapper	60	59
serb	62	59
shiva	62	59
smilodon	65	59
third	61	59
under	62	59
version	60	59
vincent	60	59
wa	63	59
abdul	62	58
abel	70	58
advanced	63	58
auguste	60	58
ballad	59	58
bsd	77	58
css	65	58
facebook	60	58
franc	61	58
gerald	58	58
gold	63	58
gregorius	67	58
guderian	66	58
gustave	64	58
hadron	76	58
hegel	61	58
heinz	63	58
holocaust	61	58
hđba	67	58
indravarman	62	58
jaya	65	58
johan	61	58
kara	65	58
kashmir	64	58
kazakh	65	58
lloyd	63	58
make	61	58
mhc	70	58
mp	68	58
orbital	77	58
profile	64	58
ptolemy	59	58
quebec	67	58
reference	60	58
republic	61	58
revolution	62	58
shan	60	58
square	62	58
alcohol	69	57
andersen	77	57
bh	59	57
bilbao	63	57
billy	60	57
bissau	64	57
block	64	57
bourbon	57	57
cambri	74	57
charlie	61	57
christ	59	57
cos	63	57
court	68	57
felix	57	57
gb	78	57
iau	59	57
kabul	61	57
liveshow	60	57
mies	61	57
monoxide	61	57
norodom	62	57
over	59	57
ross	63	57
shi	62	57
walker	60	57
baryon	66	56
bikini	73	56
brom	57	56
chiang	69	56
era	59	56
express	57	56
gayageum	77	56
gondwana	60	56
hinomaru	59	56
india	57	56
itu	66	56
jayavarman	58	56
knuth	58	56
larry	59	56
mohamed	57	56
natural	58	56
orion	60	56
pharaon	60	56
phoenicia	64	56
pp	57	56
rights	62	56
rumani	60	56
slytherin	65	56
tree	62	56
udp	62	56
watergate	64	56
weimar	60	56
wimbledon	92	56
ball	56	55
basel	56	55
batista	57	55
cacbonat	61	55
cl	61	55
deco	62	55
department	57	55
garcía	57	55
giuse	59	55
guardian	55	55
guinness	58	55
half	62	55
hassan	56	55
hills	57	55
illyria	60	55
lagrange	59	55
macro	60	55
madison	56	55
mario	57	55
military	56	55
neil	56	55
niken	57	55
northern	57	55
oprah	69	55
order	59	55
peace	62	55
politics	55	55
publishing	55	55
rap	63	55
rugby	71	55
rôman	61	55
saxon	57	55
services	61	55
smtp	65	55
social	55	55
ct	57	54
dennis	54	54
dfb	60	54
distribution	68	54
family	59	54
hera	57	54
janeiro	55	54
kenneth	54	54
lima	55	54
mathematics	61	54
mauritius	63	54
murray	56	54
nevada	56	54
papua	56	54
phenol	66	54
prunus	69	54
roy	55	54
trust	54	54
ural	61	54
user	54	54
work	56	54
augustine	58	53
bali	58	53
boltzmann	57	53
caribbean	54	53
champs	61	53
chris	53	53
crick	53	53
head	55	53
middle	54	53
plus	58	53
president	57	53
proto	64	53
rca	53	53
rovers	54	53
sebastian	53	53
studios	59	53
thomson	55	53
vaccine	67	53
vegas	57	53
vertical	76	53
vovinam	65	53
willem	56	53
access	54	52
age	55	52
ampère	63	52
apec	68	52
austin	57	52
aztec	53	52
barbara	53	52
cannabis	67	52
carnot	68	52
caspi	52	52
cruz	56	52
dortmund	56	52
draco	58	52
economic	53	52
electronics	55	52
encyclop	55	52
eugene	52	52
europe	54	52
fermi	62	52
gaia	59	52
health	58	52
hindi	54	52
homo	69	52
hp	59	52
hydrogen	58	52
ie	67	52
jojo	54	52
kb	59	52
led	57	52
ligue	65	52
low	53	52
map	63	52
mozilla	62	52
nh	59	52
osaka	54	52
pages	54	52
positron	57	52
queensland	54	52
sl	53	52
small	57	52
sophie	54	52
store	57	52
their	61	52
translation	54	52
view	52	52
wave	57	52
wikimedia	59	52
women	62	52
achilleus	57	51
aires	53	51
ana	57	51
asbury	56	51
available	52	51
ballet	62	51
baptiste	51	51
between	51	51
boy	51	51
brandenburg	56	51
buddhism	55	51
bénin	61	51
case	58	51
erwin	51	51
fi	55	51
function	52	51
gama	52	51
gif	53	51
hart	54	51
heavy	54	51
heian	60	51
higgs	64	51
hydrochloric	53	51
ieee	64	51
indian	53	51
joachim	54	51
jura	53	51
lie	55	51
linus	51	51
mass	52	51
mcnamara	59	51
menshevik	55	51
mind	55	51
montgomery	53	51
mr	53	51
mv	61	51
napoli	53	51
nasser	52	51
neumann	56	51
palace	56	51
permi	62	51
punjab	53	51
record	56	51
rhine	55	51
robben	55	51
samurai	52	51
sufi	59	51
taxi	63	51
ada	63	50
altai	76	50
alternative	51	50
alumina	60	50
ancient	56	50
ap	55	50
audio	56	50
barack	51	50
blair	52	50
buenos	52	50
chdc	50	50
constantinople	53	50
core	58	50
detroit	51	50
evolution	50	50
facto	54	50
fall	52	50
gryffindor	53	50
hotel	53	50
if	53	50
italy	52	50
kai	51	50
krông	73	50
laplace	51	50
laura	52	50
leone	53	50
midway	56	50
mons	60	50
montmartre	57	50
mount	52	50
phospholipid	52	50
plaza	55	50
poltava	54	50
professional	59	50
rama	58	50
rsa	55	50
réunion	53	50
río	53	50
some	51	50
sql	61	50
telnet	64	50
tupolev	57	50
tw	54	50
vienna	52	50
vlaanderen	55	50
width	54	50
africa	53	49
baby	53	49
battle	59	49
but	49	49
capitol	54	49
cern	54	49
chekhov	58	49
complete	50	49
county	50	49
cyanide	57	49
dei	56	49
dire	53	49
epstein	51	49
fukuzawa	54	49
golgi	63	49
good	50	49
guiné	58	49
harold	49	49
havel	54	49
hippocrates	51	49
hq	89	49
jason	53	49
jsp	72	49
khalifa	50	49
lucky	63	49
luftwaffe	51	49
lôgic	56	49
mach	56	49
marketing	66	49
nagasaki	50	49
now	51	49
organ	58	49
papers	51	49
pda	54	49
pgs	51	49
raf	60	49
renault	49	49
schwarzschild	60	49
side	50	49
wembley	52	49
where	57	49
aff	51	48
barbarossa	49	48
barca	56	48
becc	51	48
budapest	48	48
coulomb	53	48
cytosine	50	48
delaware	52	48
florence	52	48
form	56	48
format	59	48
fr	49	48
gr	51	48
herodotus	49	48
ipa	49	48
kun	57	48
kyo	54	48
large	49	48
makoto	52	48
march	48	48
monte	53	48
mountain	54	48
orange	50	48
paulo	52	48
perl	51	48
praj	54	48
quantum	54	48
rgb	59	48
see	51	48
sofia	51	48
somali	64	48
steroid	52	48
tivi	49	48
tower	57	48
tukhachevsky	48	48
usagi	58	48
virtual	56	48
voyager	50	48
arabia	52	47
artemis	50	47
blast	58	47
bonn	49	47
cadmi	60	47
cap	50	47
ceo	49	47
copenhagen	47	47
ctv	47	47
dave	48	47
eva	48	47
ferrari	49	47
fm	65	47
fpt	79	47
fractal	57	47
grace	55	47
gradient	52	47
heisenberg	47	47
hexagrams	47	47
hms	55	47
hđbt	47	47
juve	58	47
keynes	56	47
levant	47	47
memorial	48	47
mona	49	47
morgan	50	47
most	50	47
nacional	52	47
nitric	49	47
notes	48	47
novell	52	47
ohm	56	47
olympus	50	47
per	49	47
phnom	47	47
physics	55	47
qđndvn	48	47
resource	48	47
roberto	51	47
rocket	47	47
romeo	54	47
senshi	54	47
sharon	52	47
straits	51	47
strauss	49	47
stuttgart	55	47
sénégal	47	47
taka	59	47
usa	48	47
which	49	47
đh	53	47
allele	60	46
alpes	48	46
augustinô	48	46
aung	47	46
bayes	57	46
bmw	58	46
brest	47	46
butler	50	46
campbell	47	46
catholic	49	46
ce	50	46
clerk	49	46
cmos	55	46
common	48	46
crystal	47	46
dark	56	46
diode	63	46
formaldehyde	56	46
gate	49	46
grenada	57	46
hannover	48	46
herschel	52	46
idaho	53	46
ios	50	46
lefort	50	46
leon	49	46
let	49	46
lev	46	46
level	54	46
linda	47	46
meson	53	46
mission	48	46
navarre	51	46
omar	48	46
oregon	49	46
part	49	46
policy	50	46
santos	47	46
schengen	64	46
sheremetev	47	46
simple	48	46
socrates	50	46
stamford	47	46
thrace	48	46
tnqtnq	49	46
tolkien	54	46
unit	47	46
without	47	46
won	49	46
adenine	50	45
anton	46	45
azov	52	45
baden	49	45
bavaria	47	45
bering	50	45
bismuth	51	45
broadway	47	45
cellulose	45	45
christmas	49	45
civil	48	45
concorde	46	45
domino	55	45
energy	51	45
fleming	47	45
gibraltar	54	45
giuseppe	46	45
greenwich	58	45
hccs	46	45
hybrid	52	45
id	46	45
judea	48	45
karst	58	45
knopfler	49	45
ku	47	45
kung	51	45
literature	46	45
many	45	45
maori	51	45
mendel	47	45
messenger	54	45
money	46	45
moses	49	45
nagar	50	45
nick	48	45
original	47	45
potsdam	49	45
rivaldo	45	45
rokossovsky	48	45
slam	51	45
stra	50	45
tesla	48	45
trick	47	45
valign	60	45
wang	45	45
whiskey	54	45
xenon	53	45
yasukuni	48	45
zu	50	45
agency	47	44
amd	57	44
américa	47	44
application	45	44
award	51	44
bartholdi	47	44
carbohydrate	49	44
carbonic	52	44
catherine	44	44
colson	50	44
double	47	44
edgar	44	44
education	45	44
ellis	44	44
ethernet	49	44
fiji	49	44
finney	49	44
fire	51	44
front	45	44
galicia	52	44
index	45	44
kyrgyz	47	44
limited	53	44
lyndon	44	44
mauritanie	47	44
memory	45	44
mitchell	46	44
movie	52	44
niels	45	44
offset	52	44
olympia	48	44
oop	52	44
op	46	44
pauli	46	44
pulitzer	44	44
riemann	50	44
rosa	46	44
sand	52	44
sap	50	44
scientific	44	44
seven	45	44
sonata	47	44
tara	55	44
tomé	54	44
use	45	44
vff	44	44
walt	45	44
ôtô	46	44
adobe	55	43
airways	48	43
alberto	43	43
allianz	47	43
annam	44	43
ansi	48	43
bc	51	43
chemical	45	43
color	46	43
community	44	43
copernicus	46	43
dell	53	43
democracy	51	43
espa	43	43
este	47	43
estádio	44	43
euphrates	44	43
fat	52	43
gary	44	43
genome	49	43
gps	45	43
harris	46	43
hawai	47	43
hilbert	48	43
hiroshima	44	43
hope	43	43
immanuel	44	43
jorge	44	43
kamakura	49	43
kawabata	50	43
kevin	45	43
klan	54	43
korea	55	43
label	72	43
mar	44	43
matrix	51	43
milo	47	43
nation	45	43
odyssey	47	43
parthia	46	43
pasha	48	43
poisson	48	43
published	43	43
ros	45	43
rss	54	43
self	44	43
short	45	43
smolensk	44	43
sukhoi	51	43
sullivan	45	43
taekwondo	53	43
tel	46	43
television	49	43
tnhh	46	43
universe	48	43
url	68	43
viktor	45	43
virgin	45	43
vnn	44	43
want	43	43
webb	49	43
yeltsin	46	43
zinoviev	43	43
andy	42	42
arab	44	42
area	47	42
atlantic	43	42
bhumibol	43	42
britain	45	42
committee	43	42
corinth	45	42
cover	46	42
cristiano	42	42
djibouti	46	42
dns	56	42
donau	47	42
eden	44	42
esperanto	63	42
fdi	48	42
ferguson	44	42
forum	44	42
foucault	46	42
fritz	43	42
gauge	52	42
gottfried	46	42
grdp	91	42
iana	44	42
japanese	50	42
knowledge	43	42
kuala	42	42
menu	48	42
mogadishu	43	42
nancy	44	42
nol	42	42
odin	50	42
parabol	47	42
petrus	47	42
plants	43	42
ppm	54	42
príncipe	53	42
rayleigh	46	42
ryan	43	42
sex	44	42
shevchenko	44	42
smells	42	42
sport	48	42
tanakh	44	42
team	45	42
test	47	42
thames	45	42
titani	47	42
trna	51	42
true	43	42
utah	43	42
vanuatu	44	42
when	43	42
against	41	41
algeria	46	41
ann	41	41
ashoka	43	41
athen	47	41
bernoulli	48	41
biology	52	41
bureau	41	41
capital	43	41
carnegie	51	41
chart	44	41
cohen	41	41
command	42	41
dallas	46	41
dream	41	41
electronic	42	41
emule	49	41
exchange	43	41
eyes	44	41
gis	46	41
graphit	47	41
gray	45	41
gutenberg	42	41
imperial	45	41
karate	43	41
kazan	46	41
keith	41	41
knight	43	41
kra	51	41
lane	44	41
macos	42	41
mahalia	51	41
malaya	46	41
maps	41	41
mb	46	41
mercedes	43	41
monde	42	41
muggle	47	41
muon	59	41
nou	42	41
pleistocen	50	41
pr	44	41
primer	45	41
program	41	41
rgen	43	41
riddle	45	41
rk	45	41
rotterdam	42	41
rutherford	45	41
seljuk	49	41
sevilla	41	41
sound	43	41
spach	47	41
stoichkov	43	41
thcs	62	41
today	41	41
turbo	50	41
var	48	41
vichy	41	41
vr	51	41
waltz	49	41
wan	43	41
warsaw	41	41
ahmad	40	40
alamos	41	40
anglo	41	40
aniston	48	40
arnold	43	40
board	43	40
boot	43	40
brezhnev	44	40
bros	40	40
bruxelles	44	40
comoros	44	40
coppa	42	40
coriolis	43	40
creole	45	40
creta	42	40
dj	46	40
edwin	40	40
eta	42	40
foreign	41	40
galilei	42	40
halide	45	40
hanja	43	40
harvey	40	40
hindenburg	40	40
hunt	41	40
io	41	40
jon	41	40
just	40	40
kana	43	40
karaoke	44	40
kv	46	40
kyiv	43	40
lebanon	43	40
lisbon	43	40
metropolitan	41	40
neva	44	40
never	42	40
nikita	40	40
nubia	41	40
oval	45	40
owen	45	40
planet	40	40
riga	41	40
scythia	45	40
shingen	45	40
siro	42	40
sovnarkom	41	40
stars	41	40
survey	42	40
uranium	43	40
vh	42	40
vision	48	40
watch	42	40
wayne	41	40
abbas	40	39
adn	48	39
anfield	40	39
atlantis	43	39
bad	41	39
balzac	47	39
bgcolor	256	39
bird	39	39
cctld	39	39
composite	46	39
concerto	42	39
corps	41	39
dame	39	39
dead	43	39
diamond	43	39
discovery	39	39
document	44	39
drake	41	39
galois	51	39
gatt	46	39
georgetown	41	39
giza	42	39
hamburger	44	39
hayek	42	39
holy	54	39
hughes	40	39
irc	52	39
jang	41	39
ldl	51	39
learning	39	39
linear	41	39
lotus	45	39
lumpur	39	39
made	41	39
malay	47	39
mathematical	50	39
mesopotamia	39	39
meyer	40	39
michelangelo	39	39
microsystems	40	39
minkowski	43	39
montreal	42	39
motif	47	39
nicholas	39	39
pitt	40	39
plan	40	39
plant	42	39
qubit	48	39
raglai	51	39
rahman	39	39
rashid	40	39
robinson	39	39
sabbath	42	39
samoa	47	39
sequence	40	39
silver	43	39
sirius	47	39
slim	46	39
sn	44	39
soyuz	44	39
suriname	41	39
tantra	43	39
tartarus	43	39
terry	39	39
there	40	39
triton	43	39
ut	55	39
vasco	39	39
wehrmacht	40	39
winners	42	39
yamato	42	39
abd	39	38
acronychia	40	38
akkad	41	38
also	39	38
amraam	46	38
arm	48	38
aw	43	38
broadcasting	39	38
buran	45	38
canadian	40	38
cbs	39	38
chat	41	38
council	42	38
description	39	38
dido	42	38
dumas	43	38
est	42	38
evans	40	38
fda	42	38
five	39	38
francesco	40	38
freddie	39	38
gsm	43	38
guam	39	38
général	48	38
hampshire	39	38
hcl	46	38
heath	41	38
helsinki	40	38
hilton	65	38
holland	43	38
ice	39	38
ide	45	38
indo	40	38
jackie	44	38
jerry	39	38
joan	39	38
jpeg	42	38
kalashnikov	40	38
kingdom	43	38
kissinger	43	38
libraries	40	38
ll	41	38
log	43	38
marc	38	38
marcos	38	38
martha	42	38
methanol	41	38
modem	46	38
mono	45	38
nigsberg	42	38
okinawa	40	38
only	40	38
panzer	42	38
parker	38	38
party	40	38
perry	38	38
personal	39	38
phoenix	41	38
piô	40	38
pradesh	41	38
private	40	38
rafael	38	38
reich	42	38
return	41	38
ricardo	39	38
slavơ	45	38
stadium	41	38
switch	47	38
taira	44	38
tennis	39	38
transfer	38	38
tuco	46	38
wallace	42	38
wiener	42	38
abdel	40	37
aden	37	37
ah	43	37
ais	39	37
alliance	41	37
apc	43	37
aphrodite	40	37
argon	44	37
asoka	38	37
assam	37	37
ath	39	37
beirut	38	37
berners	37	37
bertrand	38	37
bipm	39	37
blondie	41	37
booth	38	37
cad	41	37
ceylon	40	37
cf	38	37
cleveland	39	37
cochinchine	41	37
copy	38	37
cossack	38	37
critical	38	37
crown	41	37
dae	38	37
did	38	37
dwight	37	37
eastern	42	37
erik	40	37
evi	37	37
faust	49	37
foot	41	37
frame	42	37
future	37	37
heat	37	37
herzegovina	37	37
hooke	41	37
including	38	37
independent	37	37
insulin	40	37
judah	45	37
kadai	38	37
katrina	37	37
leonid	37	37
living	38	37
lucasfilm	37	37
medical	41	37
meggie	39	37
memphis	41	37
minsk	41	37
mohammad	38	37
moment	47	37
novgorod	41	37
ns	37	37
pablo	38	37
past	37	37
phylogeny	37	37
polypeptide	38	37
ramit	41	37
reflection	42	37
rer	42	37
rnberg	40	37
russian	38	37
sacré	42	37
salt	39	37
scandi	41	37
shin	42	37
skin	43	37
skorzeny	41	37
stand	38	37
starr	39	37
structure	38	37
sutra	46	37
theodor	37	37
thymine	43	37
travel	38	37
unicef	47	37
vega	40	37
voice	38	37
ward	39	37
watt	41	37
wisconsin	37	37
yomi	55	37
achaemenes	39	36
actin	43	36
ariel	39	36
armstrong	37	36
benedict	36	36
benito	36	36
bobby	36	36
bruno	37	36
carrey	39	36
cassini	37	36
cello	37	36
change	39	36
cis	39	36
citrus	112	36
clade	103	36
compton	44	36
corbusier	43	36
cultural	36	36
della	41	36
diospyros	115	36
doppler	39	36
emi	37	36
fabaceae	38	36
fcfcfc	36	36
flag	44	36
foster	38	36
gerhard	36	36
goethe	37	36
ground	37	36
haag	36	36
hwan	39	36
iaea	39	36
ibrahim	36	36
imam	39	36
indrapura	37	36
intron	41	36
ipad	48	36
jacobi	40	36
jay	40	36
justin	37	36
kahn	39	36
karabakh	40	36
koala	38	36
laboratory	38	36
leopard	48	36
levi	38	36
lines	38	36
mariana	39	36
marilyn	38	36
market	36	36
milton	37	36
minamoto	37	36
monica	38	36
netscape	42	36
nf	40	36
oxi	42	36
panthéon	45	36
paper	38	36
pattern	50	36
pavel	36	36
playstation	40	36
popular	38	36
portland	39	36
process	38	36
ps	41	36
pvc	45	36
resources	37	36
reuters	36	36
ricci	39	36
richmond	37	36
richter	42	36
rue	39	36
schumann	40	36
sergei	39	36
sr	38	36
strasbourg	37	36
support	38	36
tank	39	36
ted	37	36
trade	38	36
trans	38	36
trotskyist	40	36
ziziphus	47	36
zone	38	36
élysées	37	36
acacia	46	35
acetyl	39	35
alain	36	35
alfredo	35	35
alto	35	35
apraksin	36	35
australian	37	35
bauhinia	52	35
borland	40	35
bowl	35	35
bp	37	35
catalan	36	35
chapter	37	35
chechnya	44	35
computing	39	35
concert	41	35
consortium	37	35
cornell	36	35
cyrus	40	35
download	50	35
dresden	36	35
ebay	39	35
elton	37	35
eto	35	35
fair	36	35
fighter	39	35
fortran	50	35
geographic	38	35
grove	38	35
guanine	36	35
hagrid	38	35
hartley	35	35
herpes	39	35
hezbollah	36	35
intelligence	36	35
jacqueline	36	35
kharkov	37	35
konstantin	36	35
lambert	36	35
layer	36	35
leeds	37	35
leonard	35	35
lorraine	36	35
mahatma	36	35
mann	36	35
matlab	38	35
meta	37	35
mir	36	35
motors	35	35
mycobacterium	38	35
myosin	44	35
nd	38	35
ocean	37	35
organization	35	35
oricon	36	35
pg	47	35
phillips	39	35
physical	35	35
pki	38	35
plug	36	35
religion	36	35
rhapsody	35	35
rise	35	35
salzburg	36	35
sanger	37	35
sassanid	38	35
schumacher	36	35
solar	39	35
tata	42	35
trinity	36	35
turkmen	41	35
violin	36	35
vologda	41	35
vv	36	35
whois	35	35
why	37	35
wolfram	35	35
woods	37	35
abrams	36	34
adidas	35	34
aes	39	34
alberti	47	34
armée	40	34
assembly	38	34
azureus	44	34
barry	34	34
bayer	36	34
bernabéu	35	34
boys	36	34
brooklyn	38	34
calcutta	34	34
camus	43	34
canterbury	40	34
carcinôm	40	34
chapman	35	34
classic	34	34
cmyk	38	34
communications	36	34
dharma	34	34
district	36	34
elíp	37	34
emma	35	34
ep	34	34
evangelical	34	34
factor	34	34
fujiwara	36	34
georgy	35	34
gmt	39	34
halley	36	34
hand	34	34
hecta	36	34
hokkaido	36	34
honda	35	34
hoover	35	34
hugh	35	34
huygens	34	34
ilyich	35	34
indochine	36	34
isp	37	34
josef	34	34
kabila	41	34
kamchatka	41	34
kamenev	36	34
kampong	39	34
kid	42	34
koto	35	34
kraków	35	34
lb	35	34
lcd	41	34
leigh	36	34
liszt	43	34
mamluk	35	34
manti	39	34
manual	36	34
mariah	34	34
metric	40	34
michelson	37	34
mogul	35	34
nbc	34	34
november	36	34
nxb	35	34
opus	39	34
oxygen	35	34
parafin	39	34
pathet	35	34
peiper	39	34
pl	43	34
polysaccharide	36	34
pound	39	34
problem	37	34
pt	40	34
ql	42	34
ratzinger	37	34
rehnski	34	34
rhode	36	34
rodríguez	35	34
rousseau	37	34
santo	36	34
sativa	39	34
seleukos	38	34
semit	38	34
senegal	36	34
spencer	34	34
spurs	35	34
spyware	37	34
stallman	36	34
start	34	34
summary	34	34
susan	34	34
they	39	34
tycho	43	34
win	34	34
windsor	35	34
woman	37	34
aaron	37	33
acetat	44	33
alexei	35	33
animation	36	33
articles	33	33
authority	33	33
baotixita	33	33
bennett	36	33
bj	39	33
blood	35	33
bohemian	33	33
bor	36	33
brussels	33	33
bull	34	33
canaan	36	33
cathode	35	33
celtic	40	33
citric	33	33
colin	33	33
commission	36	33
commons	37	33
companion	33	33
constantinus	36	33
cs	34	33
defense	37	33
diaz	34	33
dick	34	33
directory	41	33
dostoevsky	34	33
dragon	34	33
eclipse	50	33
elaeagnus	69	33
entry	38	33
eros	35	33
esa	34	33
fields	33	33
fontainebleau	35	33
gropius	33	33
handbook	33	33
haven	34	33
her	36	33
hm	34	33
horse	37	33
icrc	36	33
immunoglobulin	36	33
interpol	44	33
jacobin	36	33
jakarta	34	33
jeans	35	33
jedi	36	33
jennifer	43	33
johnny	36	33
kasparov	44	33
kcn	55	33
kill	37	33
krypton	38	33
lepidoptera	33	33
levy	37	33
liberty	36	33
linga	36	33
lohan	42	33
maser	41	33
mean	33	33
memento	46	33
molotov	34	33
morales	35	33
márquez	33	33
neymar	33	33
nist	36	33
note	34	33
oort	37	33
pearson	33	33
penn	33	33
picture	34	33
plata	36	33
qt	38	33
quidditch	37	33
said	36	33
samarkand	33	33
save	40	33
sensu	38	33
siemens	40	33
silva	33	33
ski	35	33
spd	35	33
standards	33	33
sulu	40	33
syzygium	65	33
tasmania	33	33
tbp	40	33
thought	35	33
timothy	34	33
torres	35	33
track	40	33
transport	33	33
troy	34	33
uranus	39	33
uzbek	37	33
verlag	33	33
walk	35	33
weber	34	33
working	33	33
wushu	40	33
yu	34	33
abbey	33	32
account	34	32
albrecht	36	32
alma	35	32
andaman	34	32
aol	35	32
aryan	35	32
asa	34	32
attack	32	32
baku	33	32
ber	35	32
born	34	32
bratislava	33	32
calgary	34	32
casa	35	32
castilla	36	32
children	35	32
chămpa	34	32
comecon	35	32
côte	35	32
dakota	39	32
dans	33	32
dynamo	34	32
edge	34	32
elliptic	35	32
emmanuel	33	32
environment	34	32
essays	34	32
euclide	33	32
ev	34	32
factbook	35	32
farm	35	32
forest	32	32
genova	32	32
gerd	32	32
glycerol	33	32
graph	41	32
gro	32	32
hadith	37	32
hamas	34	32
helios	32	32
henin	32	32
ipod	53	32
jammeh	33	32
johannesburg	33	32
juliet	37	32
justine	33	32
kush	32	32
lecture	34	32
lgbt	34	32
lipoprotein	39	32
lorenzo	33	32
lower	33	32
lp	34	32
marine	37	32
maurya	37	32
messiah	34	32
montevideo	33	32
moor	33	32
nebraska	37	32
nucleon	33	32
olympique	35	32
orlando	35	32
palais	43	32
pharaoh	36	32
phillip	32	32
phraya	33	32
platin	35	32
polaris	36	32
probability	37	32
random	32	32
resort	34	32
rik	32	32
robespierre	32	32
rootkit	38	32
rouge	37	32
scn	37	32
sevastopol	32	32
singh	34	32
sinhala	34	32
ssh	44	32
stade	34	32
sunday	34	32
supreme	38	32
suse	47	32
thali	33	32
title	37	32
tnf	32	32
tripoli	33	32
trojan	35	32
turbine	34	32
ulysses	33	32
une	32	32
vasily	33	32
vov	40	32
vpf	36	32
weekly	32	32
well	33	32
wind	34	32
zurich	32	32
allah	35	31
alpine	32	31
antigonos	38	31
aviv	34	31
bakr	31	31
bergkamp	34	31
bmp	33	31
bordeaux	32	31
borussia	33	31
braun	33	31
carbide	44	31
cat	35	31
chnd	35	31
chuck	32	31
civilization	31	31
classical	31	31
classification	34	31
coffee	40	31
conrad	32	31
cr	38	31
croat	33	31
crt	32	31
didier	31	31
docomo	36	31
doha	33	31
during	31	31
economist	32	31
edonkey	38	31
ee	37	31
eris	33	31
ethnologue	35	31
fyodor	31	31
gallery	33	31
gibbs	34	31
grey	34	31
hydride	34	31
ietf	34	31
impact	32	31
interactive	32	31
inuit	32	31
ivanovich	34	31
jae	32	31
jakob	31	31
jet	36	31
jihad	33	31
joseon	32	31
kauthara	33	31
kent	32	31
kerala	31	31
khufu	42	31
know	32	31
labs	33	31
lazarus	32	31
livonia	32	31
locke	34	31
lotte	37	31
léon	31	31
macarthur	34	31
mahal	35	31
mall	35	31
marathon	36	31
maupassant	32	31
mauritania	31	31
mer	32	31
method	31	31
mhz	36	31
mont	31	31
mughal	34	31
nuclear	40	31
oakland	32	31
opensuse	36	31
origin	32	31
ozone	33	31
panther	31	31
pelé	33	31
penh	31	31
perspective	33	31
philipp	31	31
phosphoryl	35	31
phrab	32	31
pizarro	37	31
portal	33	31
powell	33	31
prize	34	31
prolog	39	31
queens	33	31
relativity	40	31
rh	39	31
roland	34	31
safavid	31	31
sainte	32	31
sc	35	31
shtora	32	31
sinensis	39	31
songs	32	31
spring	32	31
springfield	32	31
stress	33	31
summer	32	31
sunda	31	31
swan	31	31
syracuse	31	31
tag	34	31
tajik	34	31
telecom	37	31
temple	34	31
tito	34	31
tommy	32	31
tribune	32	31
twitter	31	31
understanding	34	31
vat	31	31
vd	31	31
vernon	31	31
volta	37	31
wade	32	31
weasley	34	31
wi	31	31
wood	31	31
yasser	36	31
ưcln	37	31
alphabet	33	30
amoni	31	30
anode	31	30
arms	32	30
ayumi	34	30
ballack	34	30
baltimore	32	30
bantu	32	30
bismarck	30	30
blanc	31	30
blume	34	30
bmi	40	30
camille	32	30
cappuccino	35	30
carbonyl	34	30
carthage	32	30
casino	31	30
chdcnd	32	30
chlamydia	35	30
circuit	34	30
cristoforo	30	30
cronus	34	30
darya	38	30
dominique	38	30
doric	32	30
duncan	42	30
dynamic	33	30
ethylen	34	30
fatah	30	30
ffdddd	134	30
freebsd	38	30
fund	32	30
garnier	30	30
ge	32	30
get	31	30
golan	32	30
graphics	34	30
header	32	30
helen	31	30
hyun	31	30
itunes	32	30
ju	31	30
jun	30	30
lewenhaupt	31	30
león	31	30
license	37	30
mackenzie	33	30
maine	32	30
maría	30	30
maximilian	31	30
mehmed	30	30
midi	39	30
morley	32	30
multiple	30	30
mátthêu	30	30
narva	34	30
nevermind	30	30
nikolayevich	30	30
nostra	33	30
nouvelle	30	30
nv	32	30
oda	31	30
odessa	32	30
orléans	35	30
ossetia	32	30
parliament	32	30
path	32	30
pei	35	30
perseus	31	30
primary	31	30
princess	32	30
production	32	30
ramadan	34	30
renaissance	31	30
rhodesia	36	30
saka	32	30
scale	34	30
sean	32	30
sherman	31	30
srivijaya	35	30
status	42	30
stories	32	30
switching	35	30
take	30	30
tory	35	30
umayyad	33	30
unita	32	30
worldwide	32	30
yakuza	34	30
yellow	34	30
youth	31	30
zur	30	30
adriatic	29	29
after	29	29
agamemnon	32	29
ainu	43	29
alkyl	33	29
animal	32	29
archives	30	29
been	30	29
belorussia	32	29
benfica	32	29
bergman	31	29
beyond	30	29
brunswick	32	29
burke	29	29
cameron	29	29
caroline	29	29
cassandra	34	29
cauchy	33	29
chamberlain	32	29
